"ReviewId";"CreatedTime";"Content";"Rating";"UserId";"PlaceId"
1;"2018-09-11 21:30:50";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;2;75
2;"2019-03-14 01:22:56";"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.";4.0;359;2296
3;"2018-10-27 21:35:46";"Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.";3.0;186;2193
4;"2018-12-16 14:27:00";"In sagittis dui vel nisl.";0.0;945;1309
5;"2018-01-03 12:38:30";"Aenean fermentum.";1.0;370;2080
6;"2018-11-21 14:08:26";"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.";4.0;321;2305
7;"2019-04-01 15:21:00";"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.";2.0;297;1758
8;"2019-10-02 14:46:55";"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.";3.0;771;387
9;"2019-11-12 19:15:37";"Duis bibendum.";1.0;917;1775
10;"2018-03-10 01:18:27";"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.";3.0;876;2192
11;"2017-11-23 15:14:13";"In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.";1.0;637;2775
12;"2019-05-03 20:58:37";"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.";3.0;984;528
13;"2019-11-09 12:16:24";"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.";5.0;466;2742
14;"2019-07-08 20:11:05";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.";5.0;515;627
15;"2018-05-14 07:42:17";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";0.0;51;562
16;"2019-04-01 01:30:34";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";5.0;92;2164
17;"2019-09-17 08:58:44";"Nulla tellus. In sagittis dui vel nisl.";1.0;44;2325
18;"2019-10-09 17:46:50";"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.";1.0;472;1330
19;"2018-01-19 01:23:46";"Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.";4.0;64;388
20;"2018-12-31 23:48:52";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";2.0;697;38
21;"2019-06-25 14:43:11";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;3;914
22;"2018-03-20 07:54:14";"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";5.0;661;2606
23;"2019-01-05 18:56:48";"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.";0.0;113;1843
24;"2018-03-03 15:09:50";"""Lorem ipsum dolor sit amet";0.0;2;690
25;"2019-06-10 13:48:55";"Ut tellus.";3.0;949;1945
26;"2019-02-20 03:45:11";"Ut at dolor quis odio consequat varius.";4.0;569;1334
27;"2019-07-20 12:23:39";"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.";4.0;653;2720
28;"2018-02-19 13:40:15";"Praesent blandit. Nam nulla.";4.0;911;2864
29;"2019-06-27 21:10:59";"Fusce consequat. Nulla nisl.";2.0;642;2187
30;"2019-05-17 06:40:58";"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.";1.0;927;1492
31;"2018-11-20 16:07:01";"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.";3.0;93;384
32;"2018-03-25 02:43:20";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.";4.0;890;2457
33;"2019-05-09 00:23:21";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.";5.0;353;2632
34;"2018-02-22 02:34:05";"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.";2.0;367;1032
35;"2019-11-20 10:18:27";"Nulla suscipit ligula in lacus.";5.0;832;1956
36;"2019-08-27 15:33:42";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;3;638
37;"2017-11-29 23:35:39";"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.";2.0;902;1344
38;"2019-09-03 00:00:12";"Nulla suscipit ligula in lacus.";3.0;700;721
39;"2018-05-03 21:58:27";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;3;848
40;"2019-03-28 08:57:00";"Nullam molestie nibh in lectus.";5.0;507;830
41;"2018-07-03 05:10:54";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;5;206
42;"2017-12-01 16:12:06";"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.";1.0;239;1552
43;"2018-09-28 06:38:08";"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.";3.0;744;2062
44;"2018-02-22 09:52:46";"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";1.0;172;1761
45;"2019-08-08 10:35:45";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";5.0;771;471
46;"2018-06-15 20:04:04";"In eleifend quam a odio. In hac habitasse platea dictumst.";4.0;812;38
47;"2018-06-23 18:04:00";"Vestibulum sed magna at nunc commodo placerat. Praesent blandit.";2.0;180;1681
48;"2018-09-30 18:16:15";"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.";5.0;449;377
49;"2019-06-22 00:59:17";"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.";0.0;356;686
50;"2018-10-18 14:36:29";"Duis consequat dui nec nisi volutpat eleifend.";3.0;912;1909
51;"2018-06-26 12:06:13";"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.";3.0;387;1687
52;"2019-10-19 08:10:12";"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.";2.0;639;1237
53;"2019-04-07 17:05:35";"Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.";2.0;533;94
54;"2018-02-20 10:32:24";"Nulla nisl.";4.0;15;2094
55;"2018-11-29 10:03:50";"Aliquam non mauris. Morbi non lectus.";5.0;150;2918
56;"2018-05-06 05:02:08";"Nullam sit amet turpis elementum ligula vehicula consequat.";5.0;488;2007
57;"2019-02-23 05:03:27";"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.";0.0;650;1619
58;"2019-10-10 15:38:52";"Aenean lectus. Pellentesque eget nunc.";2.0;543;2548
59;"2018-11-22 23:07:48";"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.";1.0;647;418
60;"2018-07-09 16:31:06";"Mauris sit amet eros.";4.0;180;726
61;"2019-09-15 16:38:56";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.";0.0;898;2834
62;"2018-07-31 20:54:05";"In congue. Etiam justo.";2.0;370;517
63;"2018-11-10 06:20:37";"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.";4.0;350;1338
64;"2019-10-17 18:28:29";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.";0.0;857;2094
65;"2019-03-26 04:50:36";"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.";1.0;96;2242
66;"2018-11-15 09:54:43";"Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.";1.0;176;1537
67;"2017-11-21 08:44:08";"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.";2.0;161;431
68;"2018-04-29 02:01:05";"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.";5.0;265;1960
69;"2018-11-14 10:06:58";"Fusce consequat.";0.0;436;25
70;"2019-02-17 05:44:03";"Ut tellus. Nulla ut erat id mauris vulputate elementum.";3.0;668;2030
71;"2019-01-25 14:25:58";"Donec ut mauris eget massa tempor convallis.";3.0;544;2134
72;"2018-09-06 06:42:25";"In congue. Etiam justo.";1.0;987;2366
73;"2019-06-27 11:14:48";"Ut tellus.";3.0;436;1178
74;"2018-01-23 19:33:14";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";2.0;527;303
75;"2019-05-06 15:16:18";"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.";0.0;775;827
76;"2019-01-09 01:20:24";"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.";2.0;206;1764
77;"2019-10-11 20:09:30";"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.";4.0;229;2533
78;"2019-08-25 09:33:52";"In hac habitasse platea dictumst.";3.0;39;2784
79;"2018-04-15 05:39:06";"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";0.0;817;91
80;"2018-08-23 00:40:17";"Nullam varius. Nulla facilisi.";5.0;261;1988
81;"2019-04-06 10:45:42";"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.";2.0;333;2044
82;"2018-11-29 03:05:57";"In congue.";4.0;600;665
83;"2018-12-11 15:01:26";"""In blandit ultrices enim. Lorem ipsum dolor sit amet";0.0;5;770
84;"2019-05-21 12:37:22";"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.";5.0;883;2318
85;"2019-08-04 17:30:24";"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.";4.0;692;988
86;"2019-01-25 00:30:07";"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.";1.0;202;1851
87;"2017-12-09 17:43:20";"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.";2.0;795;1467
88;"2019-08-21 05:56:04";"Praesent blandit lacinia erat.";1.0;924;1731
89;"2019-02-19 10:30:01";"""Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes";0.0;4;204
90;"2018-05-17 22:22:07";"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.";1.0;878;2160
91;"2019-09-15 00:45:07";"Nam tristique tortor eu pede.";2.0;109;1300
92;"2018-06-09 19:12:28";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";0.0;463;1376
93;"2018-10-20 06:44:00";"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.";3.0;684;1061
94;"2019-08-24 15:01:53";"Aenean lectus. Pellentesque eget nunc.";5.0;459;2159
95;"2019-01-10 02:49:37";"Morbi quis tortor id nulla ultrices aliquet.";1.0;14;1958
96;"2018-08-31 08:53:23";"Donec semper sapien a libero. Nam dui.";5.0;19;1343
97;"2017-12-11 08:03:35";"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.";4.0;408;1566
98;"2019-02-02 04:23:38";"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.";2.0;789;1530
99;"2019-02-01 22:30:12";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";5.0;961;1135
100;"2019-01-30 14:04:47";"Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.";2.0;87;2422
101;"2019-03-28 00:45:16";"Pellentesque ultrices mattis odio.";4.0;344;1803
102;"2019-06-26 18:50:57";"Nullam sit amet turpis elementum ligula vehicula consequat.";5.0;67;2065
103;"2018-02-04 18:21:08";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.";1.0;101;320
104;"2018-07-19 04:23:21";"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.";4.0;228;1086
105;"2019-10-27 18:05:59";"Nulla justo.";1.0;727;1597
106;"2018-12-17 10:11:31";"Nulla ac enim.";3.0;659;15
107;"2019-08-25 01:45:17";"Nam nulla.";2.0;626;544
108;"2019-08-11 18:07:15";"Mauris lacinia sapien quis libero.";3.0;781;11
109;"2019-02-24 05:45:02";"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.";1.0;830;513
110;"2019-04-20 01:02:44";"Fusce consequat. Nulla nisl.";1.0;844;1037
111;"2019-03-02 18:48:45";"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.";0.0;299;632
112;"2019-04-27 18:45:49";"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.";0.0;449;1355
113;"2019-10-25 09:04:57";"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.";1.0;712;2852
114;"2017-12-01 05:49:55";"Aenean lectus.";5.0;204;1055
115;"2019-06-20 04:33:04";"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.";3.0;60;426
116;"2018-10-10 08:21:55";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.";2.0;70;161
117;"2018-09-18 16:29:46";"Suspendisse potenti. Nullam porttitor lacus at turpis.";3.0;988;1812
118;"2019-06-23 01:39:53";"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.";3.0;204;647
119;"2018-08-02 20:24:37";"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.";0.0;599;592
120;"2018-09-05 01:51:22";"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";3.0;783;97
121;"2018-04-13 03:51:57";"Phasellus sit amet erat. Nulla tempus.";5.0;68;662
122;"2019-09-19 04:13:24";"""Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes";0.0;1;188
123;"2018-09-10 08:34:32";"Aliquam erat volutpat. In congue.";1.0;349;2405
124;"2018-01-05 14:11:57";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.";2.0;336;343
125;"2018-04-11 14:44:11";"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.";0.0;693;178
126;"2019-02-09 08:56:15";"Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.";3.0;62;2080
127;"2019-04-20 04:34:03";"Donec posuere metus vitae ipsum. Aliquam non mauris.";3.0;812;14
128;"2019-06-27 23:49:40";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.";1.0;413;1371
129;"2018-08-17 15:55:27";"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.";0.0;173;1836
130;"2018-09-13 08:43:38";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.";3.0;97;810
131;"2018-09-09 21:56:35";"Nulla justo.";5.0;819;125
132;"2019-01-23 12:13:15";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.";3.0;958;2705
133;"2018-10-09 16:28:51";"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.";4.0;579;380
134;"2019-06-21 06:17:37";"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.";1.0;324;552
135;"2019-11-11 23:47:40";"Aliquam erat volutpat. In congue.";4.0;118;2102
136;"2017-12-02 00:25:02";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.";1.0;769;2623
137;"2019-10-19 05:51:46";"""Lorem ipsum dolor sit amet";0.0;3;681
138;"2018-01-04 08:48:01";"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.";0.0;680;1445
139;"2018-06-16 08:14:58";"""Lorem ipsum dolor sit amet";0.0;2;893
140;"2018-08-20 13:53:28";"Morbi a ipsum. Integer a nibh. In quis justo.";0.0;793;2461
141;"2018-01-07 03:47:18";"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.";1.0;169;2291
142;"2018-03-15 20:45:14";"""Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes";0.0;2;663
143;"2018-03-19 23:30:41";"Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.";1.0;225;2413
144;"2019-10-11 12:46:33";"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.";3.0;130;17
145;"2019-04-09 08:17:55";"Nulla nisl. Nunc nisl.";3.0;398;932
146;"2017-12-03 02:24:44";"Integer ac leo. Pellentesque ultrices mattis odio.";2.0;546;169
147;"2018-03-20 11:32:02";"Mauris ullamcorper purus sit amet nulla.";4.0;797;308
148;"2019-09-28 02:14:28";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.";2.0;533;1442
149;"2018-05-26 18:29:18";"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.";1.0;703;1596
150;"2017-12-15 00:37:54";"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.";1.0;11;484
151;"2018-02-23 03:37:22";"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.";4.0;271;312
152;"2018-09-08 11:14:51";"Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.";5.0;773;1588
153;"2018-06-24 02:40:06";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.";2.0;366;2182
154;"2019-01-31 18:40:14";"Nunc rhoncus dui vel sem. Sed sagittis.";0.0;275;1751
155;"2018-05-25 04:55:51";"Sed ante. Vivamus tortor.";5.0;443;1971
156;"2019-05-18 22:44:37";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;5;460
157;"2019-03-28 10:27:23";"Sed sagittis.";5.0;261;1031
158;"2019-10-19 05:52:13";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";0.0;733;711
159;"2019-07-14 20:59:29";"Nullam varius. Nulla facilisi.";3.0;199;32
160;"2019-05-29 04:49:05";"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.";0.0;803;1761
161;"2018-06-17 17:57:48";"Nulla tellus.";4.0;91;844
162;"2017-11-25 20:55:24";"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";3.0;423;728
163;"2019-06-11 18:41:19";"Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";1.0;544;43
164;"2018-02-17 05:27:03";"Fusce consequat. Nulla nisl. Nunc nisl.";2.0;352;1721
165;"2019-06-23 02:34:30";"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.";4.0;296;2625
166;"2019-09-25 12:21:56";"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.";0.0;860;2073
167;"2018-05-02 01:38:53";"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";2.0;251;2112
168;"2018-06-02 10:24:38";"Nulla nisl.";0.0;723;1241
169;"2018-09-22 15:11:28";"Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.";5.0;710;2915
170;"2018-08-29 04:05:06";"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.";4.0;14;1343
171;"2019-03-05 10:21:11";"Quisque porta volutpat erat.";3.0;741;2833
172;"2019-10-22 07:55:36";"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.";2.0;815;727
173;"2019-04-07 09:00:53";"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.";3.0;68;2000
174;"2017-11-30 00:51:37";"Donec posuere metus vitae ipsum.";3.0;906;622
